pair_ID	resume	jd	score
316	strong communication skills	Excellent written and verbal communication skills for coordinating across teams	five
317	"experienced with python packages (sci-kit-learn, pandas, numpy, scipy, nltk, django), google dialogflow, tensorflow"	A drive to learn and master new technologies and techniques	four
318	"Master’s or PHD in Statistics, Mathematics, Computer Science or another quantitative field"	We’re looking for someone with five-7 years of experience manipulating data sets and building statistical models	four
319	"C, C++, Java, JavaScript, Python, R"	Coding knowledge and experience with several languages	four
320	"GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis"	Knowledge and experience in statistical and data mining techniques	five
321	"R, Python, Sql, Cypher"	Experience querying databases and using statistical computer languages	five
322	"Redshift, Sthree, Spark, DigitalOcean etc."	Experience using web services	five
323	"regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks"	Experience creating and using advanced machine learning algorithms and statistics	five
324	"Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights"	Experience analyzing data from threerd party providers	five
325	"Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL"	Experience with distributed data/computing tools	five
326	"Periscope, Business Objects, Dthree, ggplot, tableau, powerBI"	Experience visualizing/presenting data for stakeholders using	five
327	Experience in building data architectures	"Interpret data, analyze results using statistical techniques and provide ongoing reports"	five
328	"SQL Server, MySQL, PostgreSQL, NoSQL databases, MongoDB, Redis, Big Data frameworks, Hadoop, Spark"	Develop and implement databases	five
329	"SQL, Hadoop, Spark"	Develop and implement data collection systems	five
330	Experience in building ETL frameworks	Acquire data from primary or secondary data sources and maintain databases/data systems	five
331	Predictive maintenance and anomaly detection using machine learning to reduce the machines unplanned downtime and predict machines failure	"Identify, analyze, and interpret trends or patterns in complex data sets"	five
332	knowledge of data cleaning and data wrangling using data mining tools	"Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems"	four
333	strong leadership and team skills	Work with management to prioritize business and information needs	five
334	Identify business KPI	Locate and define new process improvement opportunities	four
335	Partner with development team to implement business intelligence solution using tableau	"Experience with Tableau, QuickSight, OBIEE or similar BI Reporting Platform"	three
336	"Proficient in Tableau, quicksight, Dthree.js"	Data visualization and dashboarding experience	five
337	Developed data models with ETL framework	"Establish scalable, efficient, automated processes for large scale data analyses, model development, model validation, and model implementation"	three
338	Working knowledge for SQL	"Experience in data mining (SQL, ETL, data warehouse, etc.) and using databases in a business environment with large-scale, complex datasets"	two
339	"Tableau, Business Objects, Cognos, PowerBI, Dthree.js, Excel"	"Experience using business intelligence reporting tools (Tableau, Business Objects, Cognos etc.)"	five
340	"tableau, QuickSight"	Experience in working with data visualization (QuickSight or Tableau)	five
341	Developed data models with ETL framework	"Implement standardized, automated operational processes to deliver accurate and timely data for reporting to meet or exceed SLAs"	five
342	Strong knowledge of SQL and NoSql databases	Proficient extracting and processing data using performant SQL queries	four
343	"Visualization software: OBIEE, Tableau, Amazon Quicksight, Dthree.js, PowerBI"	"Experience building self-service reporting solutions using business intelligence software (e.g., OBIEE, Tableau, Amazon Quicksight, etc.)"	five
344		"Establish scalable, efficient, automated processes for large scale data analyses, model development, model validation, and model implementation"	five
345	"Excel, Tableau, QuickSight"	Advanced skills in Excel as well as any data visualization tools like Tableau/QuickSight or similar BI tools (familiarity with Tableau preferred).	five
346	"ETL, SQL"	"Data modeling, Data extraction through ETL and SQL"	four
347	"Tableau, PowerBI, Excel, PowerPivots, R , Python"	Experience in dash-boarding using Tableau/PowerBI/Excel/PowerPivots. Familiarity with R/Python to enhance dashboards is a plus	five
348	Automation using VB Script and Scala	"Knowledge of scripting for automation (e.g., VB Script, Python, R, Scala)"	four
349	"Tableau , Excel , PowerBI"	Experience with data visualization using Tableau or similar tools	four
350		Experience with large-scale data warehousing and analytics projects	five
351	"SQL, Tableau"	Strong knowledge of and experience with database querying (SQL) and reporting packages (Tableau or similar)	three
352	"Tableau, QuikSight, Power BI"	"Prior experience with data visualization (Tableau, QuikSight, Power BI)"	five
353	"tableau, Obiee"	"Experience in developing requirements and formulating business metrics for reporting, familiarity with data visualization tools, e.g. Tableau"	five
354	"tableau, shiny, Dthree.js, PowerBI"	"Experience in data visualization and reporting, preferably in Tableau, Shiny, and/or Dthree.js"	five
355	familiar with SQL	Experience with SQL	four
356	"Ruby, Perl, Oracle, Redshift, SQL, MySQL, Tableau"	"Experience with at least one of the following: Ruby, Perl, Oracle, Redshift, SQL, MySQL, Tableau"	five
357	"Tableau, Microstrategy, QuickSight or equivalent data visualization solutions"	"Working knowledge of Tableau, Microstrategy, QuickSight or equivalent data visualization solutions"	five
358	"R, Stata, Python, Matlab"	"Proficient in statistical programming languages such as R, Stata"	five
359	"OBIEE , PeopleSoft"	"Working knowledge of Oracle Business Intelligence (OBIEE), PeopleSoft or other HRMS systems a plus"	five
360	"Tableau , Excel , PowerBI, AWS Redshift"	Leverage internal tools including Tableau and AWS Redshift to deliver data driven recommendations	four
361	"Advanced proficiency with Microsoft Office (Word, Excel, and PowerPoint)"	"Advanced proficiency with Microsoft Office (Word, Excel, and PowerPoint)"	four
362	"Advaced Excel, Tableau, Excel"	"Advanced Microsoft Office skills, particularly Excel (analytical platforms as well as Tableau & Quicksight skills would be advantageous)"	five
363	"OBIEE, Business Objects, Cognos, Tableau, MicroStrategy"	"Knowledge of business intelligence reporting tools (OBIEE, Business Objects, Cognos, Tableau, MicroStrategy)"	five
364	"Data warehousing programs, tableau and other dashboards for data intelligence and analysis"	"Experience using business intelligence reporting tools (Tableau, Business Objects, Cognos etc.)"	four
365	"Tableau, OBIEE"	"two+ years’ experience with Tableau, Looker or similar BI Reporting Platform"	five
366	"Perl, Shell, Python and/or Ruby"	three+ years scripting experience	four
367	"ECtwo, ECS, Cloudformation, Cloudwatch"	· three+ years AWS experience	five
368	"MySQL, Redis, and DynamoDB"	· two+ years database experience	five
369	"Kubernetes, Docker, Jenkins, Ansible Chef, Puppet, or related tools"	· one+ years Docker experience	four
370	"Java, NET, Nodejs, PHP, Python, Ruby"	"Experience in at least one of the following languages: Java, NET, Nodejs, PHP, Python, Ruby"	five
371	"Git, Perforce, SVN, TFVC"	· Familiarity with one or more version control	four
372	"Virtualization using Hypervisors, VMware, Xen"	· Exposure tExpert experience with Virtualization	four
373	"Kubernetes, Docker, Jenkins, Ansible Chef, Puppet, or related tools"	· Exposure tExpert experience with Kubernetes	four
374	"CloudFormation, Chef, Puppet, Salt, or Ansible"	"Experience with CloudFormation, Chef, Puppet, Salt, or Ansible in production environments"	five
375	"CloudWatch, Datadog, Splunk, Opentracing, AWS X-Ray, and APM tools"	· Experience with monitoring and log aggregating frameworks.	five
376	"knowledge of Git, SVN, Mercurial, Perforce"	· Experience with revision control source code repositories	five
377	Experience with Jenkins and BamboExpert experience with and TeamCity	· Management of continuous integration servers	five
378	"Kubernetes, Docker, Jenkins, Ansible Chef, Puppet, or related tools"	· Continuous Integration technology	five
379	"Ubuntu, CentOS, RedHat, Active Directory, Exchange"	· Expert of experience with System Administration with Linux and/or Microsoft Windows Server and associated technologies	five
380	"expertise in TCP/IP, DNS, routing, switching, firewalls, LAN/WAN, traceroute, iperf, dig, cUrl"	· Expert experience with Networking and troubleshooting	five
381	"Knowledge of automation tools such as Chef, Puppet, Salt, Ansible"	Expert experience with automating real-world production environment	five
382	Knowledge of cloud development platforms such as CloudFormation or Terraform	Expert experience with infrastructure as a code development	five
383	"Jenkins, Bamboo, TeamCity, VSTS"	Expert experience with configuring and managing continuous integration servers	five
384	"Docker, K8S, ECS, Fargate"	Expert experience with containers	five
385	"ELK, Datadog, New Relic"	Expert experience with logging and monitoring infrastructure	five
386	"VPN's, DNS, load balancing, and firewalling."	"Expert experience with IP networking, VPN's, DNS, load balancing, and firewalling."	five
387	"linux scipt knowledge- Powershell, Python, Bash"	Expert experience with Linux and Windows-based systems administration in Cloud or Virtualized environment including scripting	five
388	"C, C++, C#, Java, or Perl"	"Knowledge of, at least, one modern programming language"	five
389	Excellent analytical and quantitative skills	Excellent analytical and quantitative skills	five
390	"Git, Gerrit, Confluence, Jira, Bamboo"	Experience using modern SCM tools	five
391	"C, C++, Java, Python, or PERL"	Experience in at least one modern programming language	five
392	"C++, Java, Python"	Experience with writing objectoriented code in any programming language	five
393	Java or C#	one+ years experience implementing software in a major systems language	five
394	"Xen, KVM, Docker and/or Kubernetes"	· Working knowledge of virtualization and containerization	five
395	"TCP/IP, DNS"	Experience with Networking	five
396	"VMware, Xen, Hypervisor"	Exposure to Virtualization	five
397	"jQuery, Bootstrap, HTML, CSS, JavaScript, Angular, rails."	Experience with any of the following web development languages	five
398	"Python, Java, Perl"	"one+ year experience in at least two of: Python, Java, Perl, PHP, Ruby, Bash/Shell"	five
399	"TCP/IP, DNS, routing, switching, firewalls, LAN/WAN, traceroute, iperf, dig, cURL or related"	7+ years of experience with Networking and troubleshooting	five
400	"Java, Perl, Ruby, Python"	Some programming / scripting experience	five
401	"Tableau, OBIEE"	"two+ years’ experience with Tableau, Looker or similar BI Reporting Platform"	five
402	"Bachelor of Technology (B.Tech.), Computer SoftwareEngineering"	"Bachelor’s degree or higher in Computer Science, Software Engineering or Computer Engineering, or related discipline"	five
403	Senior Python Developer May two0onefour - July two0one7 (three years three months)	"three+ years of object oriented programming experience in Python, Ruby, Java, or another high-level programming language"	four
404	I am experienced in Python and facilitating requirements	"three+ years of object oriented programming experience in Python, Ruby, Java, or another high-level programming language"	one
405	Platforms: Linux	Experience with full stack development in a Linux environment	two
406	"I am skilled in stakeholder managementat all levels and has experience working on projects in North America, MiddleEast and Asia."	Experience with the automation and management of IT infrastructure	two
407	Handled multiple reputed projectsand 6 scale team.	Experience with the automation and management of IT infrastructure	one
408	"facilitating requirements capture through workshops, interviews and questionnaires"	Possess strong verbal and written communication skills	three
409	"excellent interpersonal, negotiation and diplomatic skills,"	Possess strong verbal and written communication skills	four
410	Agile and Waterfallmethodologies	"Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations"	two
411	"Version control systems (SVN, GIT, Mercurial)"	"Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations"	two
412	"ambitious, motivated, career oriented person, willing to accept challenges, energetic and result oriented"	"Results-oriented, high energy, self-motivated."	five
413	Amazon Web Services (AWS)	"Experience with AWS services such as SQS, Sthree, API gateway and SNS"	two
414	Comprehensive database management and migration from SQL to Oracle	Understanding of SQL and/or NoSQL databases	four
415	"NoSQL, MongoDB, MySQL, PostgreSQL"	Understanding of SQL and/or NoSQL databases	five
416	Amazon Sthree	"Experience with AWS services such as SQS, Sthree, API gateway and SNS"	two
417	Team Lead and Python Developer / AngularJS Developer / ReactJSExpert	Programming in one or more object-oriented languages like Java/Python/C#/Ruby/Objective C/C++	three
418	Senior Python Developer	"Mastery of the tools of the trade, including a variety of modern programming languages (Java, JavaScript, C/C++, Objective C, Python, Ruby, or C#)."	two
419	"MSc, Computational Mechanics of Materials and Structures"	MS in Computer Science or equivalent	four
420	Simulative and experimental analysis	"Experience developing high quality, large scale consumer applications"	one
421	"BSc, Aerospace Engineering"	BS in Computer Science or equivalent	two
422	integrationand maintenance of GIT System	Develop high quality maintainable code	two
423	Progressive Web Application development the feature creates nativeapplication from given website	Experience developing hybrid native/HTML mobile applications	three
424	Android Developer	Experience developing hybrid native/HTML mobile applications	one
425	Engine infrastructure development for integration of Android and IOS SKDs	Experience developing hybrid native/HTML mobile applications	three
426	"Development using Make, Perl and Python."	Programming in one or more object-oriented languages like Java/Python/C#/Ruby/Objective C/C++	two
427	Applications are used to verify clients backend configuration and ability toconnect with AppDome products.	"Experience developing high quality, large scale consumer applications"	three
428	Takes ownership of the full SDLC process in afast-paced and high-stakes development environment	Firm understanding of software development principles	five
429	B.S. degree in Computer Science and Information Security	"BA/BS in Computer Science or related discipline, or equivalent work experience."	five
430	"Python three, Bash and Perl scripting, C/C++"	"Experience with one or more following languages: Python, C/C++, rust"	four
431	Execute the SDLC process globally to perform migrations and deployments	Firm understanding of software development principles	five
432	Experience with Windows and Linux cybersecurity environments	"Experience with Linux system administration and trouble-shooting of issues through their entire stack, including software, networking and operating system levels"	one
433	IPS Protections Developer	"Experience with Linux system administration and trouble-shooting of issues through their entire stack, including software, networking and operating system levels"	two
434	"TCP/IP, HTTPS, SSL/TLS"	Systems Administration / Engineering background required	one
435	Experience with Windows and Linux cybersecurity environments	Deep knowledge of the Linux and/or Windows operating systems	two
436	Monitor QA/Production environments during trading hours (globally) andassist in priority incidents to prevent possible outages and troubleshoot toprovide solutions	Proven ability to troubleshoot and identify the root cause of issues	four
437	Monitor QA/Production environments during trading hours (globally) andassist in priority incidents to prevent possible outages and troubleshoot toprovide solutions	Excellent troubleshooting skills	four
438	"Execute the SDLC process globally to perform migrations and deployments.Coordinate and create new software releases, application upgrades andconfiguration changes as needed by the team"	Experience with agile software development practice	five
439	"Create CI/CD frameworks for Python deployments that implements staticcode analysis, code coverage, and unit testing during the build and deployprocess to improve the quality of Production code and prevent bugs"	"Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations"	three
440	"Protocols: TCP/IP, HTTPS, SSL/TLS, Lthree Router automation, Kerberos, Publickey infrastructure."	"Experience with some aspect(s) of computer security: network security, application security, security protocols, cryptography, etc."	three
441	"Languages: Python three, Bash and Perl scripting, C/C++"	"Development depth in OOP, Java, UNIX, Perl, C#, XML, Web services, Powershell and UNIX tools."	one
442	"Liaise with business unit to gather business requirements and feedback, QAtraining sessions, and after-hours Production tests."	Excellent documentation skills	three
443	Automate the public key infrastructure procedure for our Web Stack with ascript so our team never has to manually renew or deploy an expired digitalcertificate again.	"The ability to program to solve problems and automate repetitive tasks in a common scripting or programming language such as Python, Bash, or Ruby"	two
444	Onboard MongoDB globally to increase reliability and scalability by replacingoutdated technologies.	Understanding of SQL and/or NoSQL databases	two
445	Jenkins CI/CD	"Strong experience working with Open Source development, including experience with Open Source CI/CD environments"	three
446	"Building tooling for past, present and future games in React (+ MobX) andNode"	"Proficiency using modern web development technologies and techniques, including HTMLfive, CSS, JavaScript, JQuery, etc or frameworks such as React/Redux, Backbone or Angular"	one
447	I also helped designing architecture of the projects and incorporating React apps	"Proficiency using modern web development technologies and techniques, including HTMLfive, CSS, JavaScript, JQuery, etc or frameworks such as React/Redux, Backbone or Angular"	one
448	"My job included working on both back-end (C#) and front-end (JS) parts of thesystem, API, a desktop application (WPF) and an online helpdesk widget (JS)."	"Proficiency using modern web development technologies and techniques, including HTMLfive, CSS, JavaScript, JQuery, etc or frameworks such as React/Redux, Backbone or Angular"	one
449	Execute the SDLC process globally to perform migrations and deployments	Ability to work in a fast paced and agile development environment	three
450	"Design, prototyping, implementation, testing, continuous integration, problemsolving"	Experience translating design mockups and prototypes into working application designs	three
451	Support the Open Source activity of eHealth.	Experience working with the open source community	two
452	Analyses of the implementations bottlenecks and boundaries of application.	Proven ability to troubleshoot and identify the root cause of issues	three
453	Python developer	"Solid experience in Perl, Ruby, or Python (expert in at least one)"	one
454	"Skilled in Python, Django, Django REST framework, Flask, Java"	"Experience programming in Java, C++, Python or related language"	three
455	"Good background in Visual C#, C++, C,"	"Experience programming in Java, C++, Python or related language"	two
456	"With business and academic experience in Machine learning,classification, regression, data analysis, data mining, supervisedlearning, unsupervised learning, Pandas, Numypy, Scikit Learn,automatic text processing, Jupyter Notebook, deep learning,PyTorch, AI knowledge and great interest in AI & Deep Learning."	Hands on experience with machine learning methods for language processing and dialogue modeling	two
457	"With business and academic experience in Machine learning,classification, regression, data analysis, data mining, supervisedlearning, unsupervised learning, Pandas, Numypy, Scikit Learn,automatic text processing, Jupyter Notebook, deep learning,PyTorch, AI knowledge and great interest in AI & Deep Learning."	"Expertise in at least one more major programming language (C++, Java, or similar) and at least one scripting language (Python, or similar), and one Deep Learning Framework (MXNet, Tensor Flow, etc.)."	two
458	"Master, Electrical and Computer Engineering, Major: Computer Engineering"	"MSc in Electrical Engineering, Computer Sciences, or Mathematics"	three
459	Full Stack and Machine Learning Developer two years 8 months	two+ years of experience of building machine learning models for business application	four
460	Full Stack and Machine Learning Developer	"Experience working effectively with science, data processing, and software engineering teams"	two
461	"Master, Electrical and Computer Engineering, Major: Computer Engineering"	"M.S. in Computer Science, Information Retrieval, Machine Learning, Natural Language Processing, Statistics, Mathematics, or related discipline"	three
462	Spark	Experience developing in Spark or related Big Data systems	two
463	"Programming Skills: C, C++, Java, Python, HTML, PHP, R , Bash,AngularJs, Objective-C, Swift,Ruby,Go"	"Ability to clean, transform, and merge your own data in a procedural language like Python or R"	three
464	Developed a Classifier Model in Python using TensorFlow	"Ability to clean, transform, and merge your own data in a procedural language like Python or R"	one
465	Created task based chatbot for web component of Kalebr using Vue.js	Experience in designing analytic and/or algorithmic solutions to business or operational problems	one
466	Experience in designing analytic and/or algorithmic solutions to business or operational problems	Experience in designing analytic and/or algorithmic solutions to business or operational problems	three
467	"The work includes developmentand application of computer vision algorithms, machine learning and deeplearning."	Experience in designing analytic and/or algorithmic solutions to business or operational problems	one
468	Software and Algorithms Developer	Experience in designing analytic and/or algorithmic solutions to business or operational problems	two
469	Machine Learning Developer one year four months	Previous experience in a ML or data scientist role and a track record of building ML or DL models	two
470	"Since two0one8, I have been working as a data scientist and machinelearning developer."	Previous experience in a ML or data scientist role and a track record of building ML or DL models	two
471	"Programming Skills: C, C++, Java, Python, HTML, PHP, R , Bash,"	Experience using Python and/or R	four
472	"Toolbox/Software/Library: TensorFlow, XGBoost, UnitythreeD, Blender,Anaconda, numpy, scipy,pandas, scikit-learn"	"Experience using ML libraries, such as scikit-learn, caret, mlr, mllib"	one
473	ORACLE SQL one0g	Knowledge and experience of writing and tuning SQL	two
474	"GoDatabase: MySQL, MS Access, Sqlite, MongoDB"	Knowledge and experience of writing and tuning SQL	two
475	Developing Machine Learning/AI algorithms for the Eatit platform	Experience in designing analytic and/or algorithmic solutions to business or operational problems	three
476	I have been building machine learning pipelinesto analyze data using standard data science python packages andI also have been developing an in-house python package withmachine learning algorithms from the more recent literature	Previous experience in a ML or data scientist role and a track record of building ML or DL models	two
477	"Master of Science - MS, Bionics/Biomimetics · (two0one7 - two0one9)"	"Graduate degree in a highly quantitative field (Computer Science, Machine Learning, Operations Research, Statistics, Mathematics, etc.)"	one
478	Publications Toward Automated BiodiversityResearch on the Tropical EcosystemUsing Artificial Intelligence	"Publications or presentation in recognized Machine Learning, Deep Learning and Data Mining journals/conferences"	five
479	Publications Real-time Sign Detection andRecognition for Self-driving MiniRovers based on Template Matchingand Hierarchical Decision Structure	"Publications or presentation in recognized Machine Learning, Deep Learning and Data Mining journals/conferences"	four
480	"Master of Science, Artificial Intelligence - Learning Systems forLanguage · (two006 - two008)"	"Graduate degree in a highly quantitative field (Computer Science, Machine Learning, Operations Research, Statistics, Mathematics, etc.)"	three
481	"Implementation of multimodal speech dialogs in Java, for research projects"	"Good skills with programming languages, such as Java or C/C++"	three
482	"Expert in Artificial Intelligence (AI) and Computational Linguistics(NLP) with a decade of industrial experience developing naturallanguage dialog systems and their components, it's my great passionto build software for people."	one0+ years of industry experience in predictive modeling and analysis	five
483	Developed German Natural Language Underderstanding (NLU) models.Technical lead for all language teams in the Dragon TV project	Assist customers by being able to deliver a ML / DL project from beginning to end	one
484	Developed Natural Langage Generation system for Navigation Voice Guidancein two0 languages.	Assist customers by being able to deliver a ML / DL project from beginning to end	one
485	Project SmartWeb. Implemented module for the resolution of temporalexpressions (Java).	"Good skills with programming languages, such as Java or C/C++"	two
486	Using Neural network with help of voc dataset and caffe model toplay golf with one00% accuracy in five*five meter area. and further trained for customflag and ball data.	"If you have experience with AI, including building ML or DL models, we’d like to have you join our team."	three
487	Developed a Classifier Model in Python using TensorFlow ImageNet which isretrained according tothe requirement with accuracy of five9.6%.	"If you have experience with AI, including building ML or DL models, we’d like to have you join our team."	two
488	Strong Logic Building in Programming	"Able to write production level code, which is well-written and explainable"	three
489	"Machine Learning in production, with a focus on Computer Vision,Facial Recognition, Voice Bots, Recommender System and NLP"	Previous experience in a ML or data scientist role and a track record of building ML or DL models	one
490	"Learning and development leader with over fifteen years ofexperience with talent management, instructional design, facilitation,coaching, organization development, cross-cultural leadership,program management, needs assessment, and evaluation"	"Ability to develop experimental and analytic plans for data modeling processes, use of strong baselines, ability to accurately determine cause and effect relationships"	four
491	Leadership Development	Consulting experience and track record of helping customers	one
492	Organizational Development	"Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment"	one
493	"Manage a team of instructional designers, facilitators and program managersbuilding engagement and development opportunities for our employees aroundthe world."	"Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment"	three
494	"Graduate Certificate, The Art and Practice of Leadership"	Ability to take ownership	one
495	"Development, evaluation and Project Management of Business Intelligence /Machine Learning / Data Mining / Big Data Analytics systems based onMicrosoft SQL Server, Azure SQL Database, Microsoft Azure MachineLearning Studio, Cortana Intelligence Suite, SSIS, SSAS, Transact-SQL(T-SQL), Microsoft .NET Framework, Visual Basic .NET, C#, Python, R,ASP .NET and CSS."	Experience with AWS technologies	three
496	Performance optimization Microsoft SQL Server	Understanding of SQL and/or NoSQL databases	three
497	Migration of BI systemsto the Microsoft Azure cloud.	"Understand the customer’s business need and guide them to a solution using our AWS AI Services, AWS AI Platforms, AWS AI Frameworks, and AWS AI ECtwo Instances"	one
498	"Conception and evaluation of cloud strategies for BI and data science projects.Hands-on development of BI and machine learning systems with Microsoft(SQL Server, Azure AI Platform)"	"Experience with AWS technologies like Redshift, Sthree, ECtwo, Data Pipeline, & EMR"	two
499	Data analysis of E-Mail tracking data for online marketing purposes.	"Ability to develop experimental and analytic plans for data modeling processes, use of strong baselines, ability to accurately determine cause and effect relationships"	two
500	"Data analysis, optimization of processes and data quality, creation of statisticsand reports, development of a data analysis system with Microsoft SQL Servertwo00five and Microsoft .NET Framework."	Track record of diving into data to discover hidden patterns	one
501	"Software development with Java/JtwoEE, Online Marketing, SEO."	"Good skills with programming languages, such as Java or C/C++"	two
502	Webdesign and Online Marketing as a member of the Marketing ServicesEMEA - Online Content Management Team.	Strong written and verbal communication skills	three
503	"Data analysis, optimization of processes and data quality, creation of statisticsand reports, development of a data analysis system with Microsoft SQL Servertwo00five and Microsoft .NET Framework."	"Work with our Professional Services Big Data consultants to analyze, extract, normalize, and label relevant data"	one
504	"Creating interactive and drilldown dashboards in Tableau on performance trends, response rate enabling us to analyze and improve on-time delivery and overall performance"	"Develop dashboards visualizing a wide variety of topics across data center delivery and performance (project management, KPIs, program overview)"	two
505	"Creating interactive and drilldown dashboards in Tableau on performance trends, response rate enablingus to analyze and improve on-time delivery and overall performance"	Invent and innovate - Build various data visualizations to tell the story and let the data speak for itself	three
506	Developed an automation script for Tableau to send out regular emails withreports using Tabcmd and Autoshell.	Using business requirements to understand data needs and define self-service reporting solutions	three
507	Data modeling and data structuring	Assist in data validation and data clean up requests as needed	two
508	Define and develop scripts to automate and improve system installations atcustomer sites.	"Turn static reports from Excel in to automated, self-serve Tableau reports."	one
509	"Responsible for diagnosing, troubleshooting,and debugging complex software problems where first-line product supporthas been unable to isolate or identify problems"	Ability to work within existing dashboards and work on bugs/upgrades	four
510	"Bachelor's Degree, Electrical and Electronics Engineering · (two009 - two0onethree)"	"Bachelor's degree in Engineering, Statistics, Computer Science, Mathematics, Finance, Information Systems, or related field"	two
511	"Experienced with Tableau server maintenance, deployment and upgrade"	three+ years of experience developing Tableau dashboards and Tableau Server	one
512	Data modeling and data structuring	"Understanding of data warehousing, mining, and modeling"	two
513	"Manipulate and load data (ODI, SQL Developer, PL/SQL)"	Experience analyzing structured and unstructured data using SQL	three
514	"Involved with problem-solving, developing design specifications and providingsystem solutions"	Strong communication skills and ability to articulate complex solutions to customer(s)	four
515	"Data Professional with 6yrs of Experience in SQL Development,BI,Implementing Data ware housing using ETL Tools and buildingReports and Dashboards using Tableau."	"Advanced user of BI data visualization and delivery tools such as Excel, Tableau, Looker, Quicksight, etc"	three
516	"Masters in Computer Engineering, with a strong foundation insoftware engineering and programming principles across multipleplatforms"	"Master's degree in Business, Engineering, Statistics, Computer Science, Mathematics or related field"	four
517	"Experienced in Tableau development, object-oriented programming, developing and designing interfaces"	"Advanced user of BI data visualization and delivery tools such as Excel, Tableau, Quicksight, etc."	one
518	"Skilled in SAPBusinessObjects, Tableau, SQL, Oracle Database."	"Knowledge of Tableau best practices in performance tuning and user-centric design, proactive alerts"	one
519	Developed a repository website using Eprints on an AWS ECtwo Linux instance	"Experience with AWS services including Sthree, Redshift, EMR and RDS is a plus"	one
520	My Tableau Public profile: https://public.tableau.com/profile/suraj.choudhary#!/	Tableau Public profile links with published content is a plus	five
521	familiar with machine learning algorithms and R	R and/or Python is a plus	three
522	"Building powerful drill down dashboards in Tableau to observe the Incomingissue trends, engineering backlog and to analyze the performance metrics forQA, engineering and support groups."	"Develop dashboards visualizing a wide variety of topics across data center delivery and performance (project management, KPIs, program overview)"	four
523	"Strong business developmentprofessional skilled in Business Process, SAS, Visual Basic, SQL,Tableau, and Data Analysis."	Using business requirements to understand data needs and define self-service reporting solutions	two
524	"Worked as a junior BI developer using Qlik View and fetch the data fromvarious data sources like SQL server, Oracle, Tally, SAP BW, MySql and manymore."	"Advanced user of BI data visualization and delivery tools such as Excel, Tableau, Looker, Quicksight, etc"	one
525	Evaluate and assess client requirements and deliver proper BI technicalsolutions within the context of client needs	Using business requirements to understand data needs and define self-service reporting solutions	one
526	Transform data for reporting and advanced analytics	Assist in data validation and data clean up requests as needed	three
527	"Creating clear, concise and accurate business documentation"	Translate complex or ambiguous business problem statements into analysis requirements	five
528	Working closely with stakeholders to design dashboards which solvebusiness problems	"Develop dashboards visualizing a wide variety of topics across data center delivery and performance (project management, KPIs, program overview)"	one
529	Review customer data sources to ensure integrity of data collection andutilization	Assist in data validation and data clean up requests as needed	one
530	Perform data profiling to identify and understand anomalies	Assist in data validation and data clean up requests as needed	four
531	Review and validate customer data as it is collected	Experience building measures and metrics	two
532	Oversee the deployment of data to the data warehouse	"Understanding of data warehousing, mining, and modeling"	four
533	Cooperate with ETL Developers to make possible to work with leverage bigdata use cases	"Understanding of data warehousing, mining, and modeling"	three
534	Creating requirements for Big Data Engineers	Translate complex or ambiguous business problem statements into analysis requirements	two
535	Develop dashboards in Tableau	"Knowledge of Tableau best practices in performance tuning and user-centric design, proactive alerts"	three
536	"Main tools: Oracle SQL (PL/SQL) , Tableau, Confluence, Jira."	"Skilled in SAPBusinessObjects, Tableau, SQL, Oracle Database."	three
537	Manages client relationships and partners with hiring managers and interviewteams.	Strong communication skills and ability to articulate complex solutions to customer(s)	three
538	Assess customers needs and provide assistance and information on productfeatures	Strong communication skills and ability to articulate complex solutions to customer(s)	four
539	Handling customer complaints	Strong communication skills and ability to articulate complex solutions to customer(s)	four
540	Providing help and advice to customers using the organisation's products orservices	Strong communication skills and ability to articulate complex solutions to customer(s)	three
541	"Communicating courteously with customers by telephone, email, letter andface to face"	Strong communication skills and ability to articulate complex solutions to customer(s)	three
542	Analysing statistics or other data to determine the level of customer servicewas provided	Coordinate development and tracking of team goals	two
543	"Leading Tableau-based projects: from understanding business requirementsthrough data modeling, design phase, implementation, and server integration"	"Knowledge of Tableau best practices in performance tuning and user-centric design, proactive alerts"	four
544	"Developing tens of dashboards over relational databases (SQL Server,Oracle) containing clients' KPIs and periodic reporting measures"	"Develop dashboards visualizing a wide variety of topics across data center delivery and performance (project management, KPIs, program overview)"	three
545	Providing tens of Tableau tutorials for clients in different industries andTableau and SQL lecturer in Naya's Data Analyst and BI Developer courses	"Advanced user of BI data visualization and delivery tools such as Excel, Tableau, Looker, Quicksight, etc"	three
